organization,job_position,job_code,location,summary,roles_responsibilities,required_skills,position,years_of_experience,contract_length,work_auth,certifications,benefits,pay_rate,reward_rate
Ascension Health,Xray Technician,ASC-8471|AH-HHC-68226,onsite,"['Monitoring radiology supplies, attending mandatory staff meetings and training sessions, and ensuring that the x-ray machines are set at the correct radiation level. ', '', 'Department: Diagnostic Radiology Amb', 'Shift timings: 19:00 - 07:30']","[""Verifying patients' identity and reviewing physicians’ orders before beginning x-ray procedures."", ""Using x-ray equipment to take radiographic images of patients' bones, tissues, and organs as per physicians’ written orders."", 'Explaining x-ray procedures to patients and answering their questions.', 'Positioning patients accordingly, which may include lifting and moving patients with limited mobility.', ""Limiting patients' exposure to radiation by placing lead shields on patients where needed."", 'Ensuring that the x-rays taken are of sound quality to prevent repeat procedures.', 'Working closely with the resident Radiologist to determine whether further tests are required.', 'Ensuring that the x-ray equipment is regularly serviced and in good working order.', 'Promptly notifying management of damaged or malfunctioning x-ray equipment.', 'Maintaining an accurate record of completed x-ray procedures.']",['Xray Technician'],1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS),"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
5.45 /hr","Reward Rate:
USD
$
5.45 /hr"
Ascension Health,Registered Nurse (RN) -Medical/Surgical,ASC-8463|AH-HHC-62104,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Critical Care Unit', 'Shift timings: 19:00 - 7:30']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Licensed Registered Nurse credentialed from the Wisconsin Board of Nursing required, Basic Life Support (BLS) Certification, National Institute of Health (NIH)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Emergency Department RN,ASC-8457|AH-HHC-37529,onsite,"['Prepared to respond to emergencies, assist doctors in emergency medical care, and ensure a high quality of nursing standards are maintained, among other duties and required to remain calm under pressure, display sound decision-making skills and be attentive to patient needs.', 'Department: ED Castleton', 'Shift timings: 19:00 - 07:00']","['Being ready to respond and equipped to deal with a medical emergency.', 'Quickly assessing patient needs.', 'Treating critical injuries, allergic reactions, and trauma.', 'Performing minor medical operations.', 'Cleaning wounds.', 'Drawing blood.', 'Maintaining emergency room care standards.', 'Assisting with insurance paperwork.', 'Ensuring the efficiency of the patient check-in process.', 'Displaying strong decision-making skills in emergency scenarios.']","['Emergency Room RN', 'Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Advanced Cardiac Life Support (ACLS), Pediatric Advanced Life Support (PALS), Neonatal Resuscitation Program (NRP), Trauma Nursing Core Course (TNCC), National Institutes of Health (NIH)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,Certified Surgical Technologist (CST),ASC-8835|AH-HHC-14810,onsite,"['Department: Surgery', 'Shift Timings:  Morning Shift and timings are 07:00 - 17:30']","['Prepare surgical operating suite with sterile drapes and sterile solutions as well as appropriate sterile and non-sterile instruments and supplies.', 'Hand required/requested instruments and supplies to surgeon during surgery.', 'Assist with preparing, transporting, positioning and draping patients.', 'Maintain instruments in an organized manner and monitor/track instrument counts throughout procedures.']","['Certified Surgical Technologist', 'Certified Surgical Technologist BLS Certification', 'Traveler Certified Surgical Technologist']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
5.21 /hr","Reward Rate:
USD
$
5.21 /hr"
Ascension Health,Registered Nurse (RN) Emergency Room-SF,ASC-8452|AH-HHC-52547,onsite,"['Prepared to respond to emergencies, assist doctors in emergency medical care, and ensure a high quality of nursing standards are maintained, among other duties and required to remain calm under pressure, display sound decision-making skills and be attentive to patient needs.', 'Department: Emergency Department', 'Shift timings: 0700-1930']","['Being ready to respond and equipped to deal with a medical emergency.', 'Quickly assessing patient needs.', 'Treating critical injuries, allergic reactions, and trauma.', 'Performing minor medical operations.', 'Cleaning wounds.', 'Drawing blood.', 'Maintaining emergency room care standards.', 'Assisting with insurance paperwork.', 'Ensuring the efficiency of the patient check-in process.', 'Displaying strong decision-making skills in emergency scenarios.']","['Emergency Room RN', 'Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Advanced Cardiac Life Support (ACLS), Pediatric Advanced Life Support (PALS) , Trauma Nursing Core Course (TNCC), National Institutes of Health (NIH), Ascension Crisis Prevention and Intervention (CPI) certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Registered Respiratory Therapist (RRT),ASC-8847|AH-HHC-2057,onsite,"['Department: Respiratory Therapy', 'Shift Timings: Night Shift and timing 19:00 - 07:30 Hours']","['Assess patient for appropriate type and frequency of treatment and develop a plan of care based on diagnosis.', 'Implement and monitor patient care plan and equipment.', 'Monitor, record and communicate patient condition.', 'Perform advanced respiratory care modalities.', 'Evaluate respiratory practice, administration of medications, and treatment based on patient outcome.', 'Educate the patient and family about the health condition and provide information about community support groups and other available programs.', 'Respond to emergency resuscitation team code.']","['Registered Respiratory Therapist (RRT)', 'Respiratory therapist', 'Traveler Respiratory Therapist']",2 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification , Pediatric Advanced Life Support (PALS) Certification, Advanced Cardiovascular Life Support (ACLS) Certification , Neonatal Resuscitation Program (NRP) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
4.67 /hr","Reward Rate:
USD
$
4.67 /hr"
Ascension Health,ICU Registered Nurse,ASC-8855|AH-HHC-14833,onsite,"['Department: Cardiovascular Unit', 'Shift timings: Morning Shift 7:00-19:00 Hours']","['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', ' Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN', 'Registered Nurse - ICU Intensive Care Unit']",2 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life support (BLS) Certification, National Institutes of Health (NIH) Certification , Advanced Cardiovascular Life Support (ACLS) Certification, Trauma Nurse Core Course (TNCC) Certification , Certified Principal Investigator (CPI) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,Registered Nurse - ICU Intensive Care Unit,ASC-8856|AH-HHC-39353,onsite,"['Department: Cardiovascular Unit', 'Shift Timings:  Night  Shift 19:00-7:00  Hours']","['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Implement and monitor patient care plans.', 'Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care. ', 'Note and carry out physician and nursing orders. ', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Intensive Care Unit', 'Registered Nurse - ICU Intensive Care Unit']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS) Certification, Trauma Nurse Core Course (TNCC) Certification, National Institutes of Health (NIH) Certification, Certified Principal Investigator (CPI) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,Registered Nurse (RN) -Medical/Surgical,ASC-8429|AH-HHC-90045,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Oncology Unit', 'Shift timing; 1845 - 0715']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Traveler Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), National Institute of Health (NIH), Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,Registered Nurse (RN) -Medical/Surgical,ASC-8426|AH-HHC-30629,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Renal Dialysis Unit', 'Shift timing; 1845 - 0715']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Traveler Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), National Institute of Health (NIH), Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
